Device ID,Model,Subscription,Price Range,Storage,Storage ID,Storage Unit,Min Price,Max Price,Before Promo Price,Base Min Price,Variation ID,Color Title,Color Variation ID,Has Stock,Sku,Has Device Variation Stock
92988,Galaxy Z Flip3 5G,watch,,256,1284,GO,291,1139,0,,95489,Green,95488,False,13545,True
92988,Galaxy Z Flip3 5G,watch,,256,1284,GO,291,1139,0,,95489,Purple,95489,False,13546,True
93002,Galaxy Z Fold3 5G,watch,,256,1284,GO,922,1865,0,,97719,Green,97718,True,13548,True
93002,Galaxy Z Fold3 5G,watch,,256,1284,GO,922,1865,0,,97719,Black,97717,False,13547,True
93002,Galaxy Z Fold3 5G,watch,,256,1284,GO,922,1865,0,,97719,Silver,97719,True,13549,True
36149,iPhone 12,watch,,64,567,GO,0,815,0,,95337,Black,95336,True,13295,True
36149,iPhone 12,watch,,64,567,GO,0,815,0,,95337,White,95337,True,13296,True
36149,iPhone 12,watch,,128,569,GO,55,869,0,,112249,Black,95336,True,13295,True
36149,iPhone 12,watch,,128,569,GO,55,869,0,,112249,White,95337,True,13296,True
36284,iPhone 12 Pro,watch,,256,1284,GO,430,1299,0,,100785,Graphite,100783,True,13314,True
36284,iPhone 12 Pro,watch,,256,1284,GO,430,1299,0,,100785,Pacific Blue,100785,True,13317,True
36284,iPhone 12 Pro,watch,,256,1284,GO,430,1299,0,,100785,Silver,95367,True,13319,True
36284,iPhone 12 Pro,watch,,512,1842,GO,636,1535,855,,95367,Graphite,100783,True,13314,True
36284,iPhone 12 Pro,watch,,512,1842,GO,636,1535,855,,95367,Pacific Blue,100785,True,13317,True
36284,iPhone 12 Pro,watch,,512,1842,GO,636,1535,855,,95367,Silver,95367,True,13319,True
42463,iPhone 12 Pro Max,watch,,256,1284,GO,519,1405,0,,95417,Graphite,95417,True,13358,True
78049,A74 5G,watch,,128,569,GO,0,299,0,,95474,Black,95474,True,13500,True
77995,Reno 4Z 5G,watch,,128,569,GO,0,299,0,,95465,Black,95465,True,13495,True
100412,4,watch,,256,1284,GO,0,689,0,,112613,Grey,112613,True,13687,True
104827,iPhone 11,watch,,64,567,GO,0,589,0,,104826,Black,104826,False,13337,True
104827,iPhone 11,watch,,128,569,GO,0,645,0,,112252,Black,104826,False,13337,True
108765,Galaxy S21 FE 5G,watch,,128,569,GO,0,779,69,,108764,Graphite,108761,True,13698,True
108765,Galaxy S21 FE 5G,watch,,128,569,GO,0,779,69,,108764,White,108762,True,13699,True
108765,Galaxy S21 FE 5G,watch,,128,569,GO,0,779,69,,108764,Green,108763,True,13700,True
108765,Galaxy S21 FE 5G,watch,,128,569,GO,0,779,69,,108764,Purple,108764,False,13701,True
97330,Reno 6 5G,watch,,128,569,GO,0,505,0,,97329,Black,97329,True,13620,True
97324,Galaxy A03S,watch,,32,565,GO,0,149,0,,97323,Black,97323,True,13619,True
112256,11T,watch,,128,569,GO,0,534,0,,112255,Grey,112255,True,13709,True
91835,Find X3 Neo 5G,watch,,256,1284,GO,0,755,0,,95483,Black,95483,False,13536,False
93039,X10,watch,,64,567,GO,0,289,0,,95534,Green,95534,True,13568,True
60232,Galaxy A32 5G,watch,,128,569,GO,0,295,0,,95456,Black,95456,True,13415,True
